Blink,3,,Transmutation,1 action,Self,"V, S",,1 minute,,,,,,Sorcerer,,Wizard,,2,XXX
Blur,2,,Illusion,1 action,Self,V,,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2,XXX
Branding Smite,2,,Evocation,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1,XXX
Burning Hands,1,,Evocation,1 action,Self (15ft cone),"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Call Lightning,3,,Conjuration,1 action,120 ft,"V, S",,"Concentration, up to 10 minutes",,,Druid,,,,,,,1,XXX
Calm Emotions,2,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 minute",Bard,Cleric,,,,,,,,2,XXX
Chain Lightning,6,,Evocation,1 action,150 ft,"V, S, M","a bit of fur; a piece of amber, glass, or a crystal rod; and three silver pins",Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Charm Person,1,,Enchantment,1 action,30 ft,"V, S",,1 hour,Bard,,Druid,,,Sorcerer,Warlock,Wizard,,5,XXX
Chill Touch,Cantrip,,Necromancy,1 action,120 ft,"V, S",,1 round,,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Chromatic Orb,1,,Evocation,1 action,90 ft,"V, S, M",a diamond worth at least 50 gp,Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Circle of Death,6,,Necromancy,1 action,150 ft,"V, S, M",the powder of a crushed black pearl worth at least 500 gp,Instantaneous,,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Circle of Power,5,,Abjuration,1 action,Self (30ft radius),V,,"Concentration, up to 10 minutes",,,,Paladin,,,,,,1,XXX
Clairvoyance,3,,Divination,10 minutes,1 mile,"V, S, M","(a focus worth at least 100 gp, either a jeweled horn for hearing or a glass eye for seeing","Concentration, up to 10 minutes",Bard,Cleric,,,,Sorcerer,,Wizard,,4,XXX
Clone,8,,Necromancy,1 hour,Touch,"V, S, M","a diamond worth at least 1,000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned, which the spell consumes, and a vessel worth at least 2,000 gp that has a sealable lid and is large enough to hold a Medium creature, such as a huge urn, coffin, mud-filled cyst in the ground, or crystal container filled with salt water",Instantaneous,,,,,,,,Wizard,,1,XXX
Cloud of Daggers,2,,Conjuration,1 action,60 ft,"V, S, M",a sliver of glass,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Cloudkill,5,,Conjuration,1 action,120 ft,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,,Wizard,,2,XXX
Color Spray,1,,Illusion,1 action,Self (15ft cone),"V, S, M","a pinch of powder or sand that is colored red, yellow, and blue",1 round,,,,,,Sorcerer,,Wizard,,2,XXX
Command,1,,Enchantment,1 action,60 ft,V,,1 round,,Cleric,,Paladin,,,,,,2,XXX
Commune,5,Ritual,Divination,1 minute,Self,"V, S, M",incense and a vial of holy or unholy water,1 minute,,Cleric,,,,,,,,1,XXX
Commune with Nature,5,Ritual,Divination,1 minute,Self,"V, S",,Instantaneous,,,Druid,,Ranger,,,,,2,XXX
Compeled Duel,1,,Enchantment,1 bonus action,30 ft,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1,XXX
Comprehend Languages,1,Ritual,Divination,1 action,Self,"V, S, M",a pinch of soot and salt,1 hour,Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Compulsion,4,,Enchantment,1 action,30 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,,,,,1,XXX
Cone of Cold,5,,Evocation,1 action,Self (60ft cone),"V, S, M",a small crystal or glass cone,Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Confusion,4,,Enchantment,1 action,90 ft,"V, S, M",three nut shells,"Concentration, up to 1 minute",Bard,,Druid,,,Sorcerer,,Wizard,,4,XXX
Conjure Animals,3,,Conjuration,1 action,60 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2,XXX
Conjure Barrage,3,,Conjuration,1 action,Self (60ft cone),"V, S, M",one piece of ammunition or a thrown weapon,Instantaneous,,,,,Ranger,,,,,1,XXX
Conjure Celestial,7,,Conjuration,1 minute,90 ft,"V, S",,"Concentration, up to 1 hour",,Cleric,,,,,,,,1,XXX
Conjure Elemental,5,,Conjuration,1 minute,90 ft,"V, S, M","burning incense for air, soft clay for earth, sulfur and phosphorus for fire, or water and sand for water","Concentration, up to 1 hour",,,,,,,,Wizard,,1,XXX
Conjure Fey,6,,Conjuration,1 minute,90 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,,,Warlock,,,2,XXX
Conjure Minor Elementals,4,,Conjuration,1 minute,90 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,,,,Wizard,,2,XXX
Conjure Volley,5,,Conjuration,1 action,150 ft,"V, S, M",one piece of ammunition or a thrown weapon,Instantaneous,,,,,Ranger,,,,,1,XXX
Conjure Woodland Beings,4,,Conjuration,1 action,60 ft,"V, S, M","one holly berry per creature summoned","Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2,XXX
Contact Other Plane,5,Ritual,Divination,1 minute,Self,V,,1 minute,,,,,,,Warlock,Wizard,,2,XXX
Contagion,5,,Necromancy,1 action,Touch,"V, S",,7 days,,Cleric,,,,,,,,1,XXX
Contingency,6,,Evocation,10 minutes,Self,"V, S, M","a statuette of yourself carved from ivory and decorated with gems worth at least 1,500 gp",10 days,,,,,,,,Wizard,,1,XXX
Continual Flame,2,,Evocation,1 action,Touch,"V, S, M","ruby dust worth 50 gp, which the spell consumes",Until dispelled,,Cleric,,,,,,Wizard,,2,XXX
Control Water,4,,Transmutation,1 action,300 ft,"V, S, M",a drop of water and a pinch of dust,"Concentration, up to 10 minutes",,Cleric,Druid,,,,,Wizard,,3,XXX
Control Weather,8,,Transmutation,10 minutes,Self (5miles radius),"V, S, M",burning incense and bits of earth and wood mixed in water,"Concentration, up to 8 hours",,Cleric,Druid,,,,,Wizard,,3,XXX
Cordon of Arrows,2,,Transmutation,1 action,5 ft,"V, S, M",four or more arrows or bolts,8 hours,,,,,Ranger,,,,,1,XXX
Counterspell,3,,Abjuration,"1 reaction, which you take when you see a creature within 60 feet of you casting a spell",60 ft,S,,Instantaneous,,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Create Food and Water,3,,Conjuration,1 action,30 ft,"V, S",,Instantaneous,,Cleric,,Paladin,,,,,,2,XXX
Create or Destroy Water,1,,Transmutation,1 action,30 ft,"V, S, M",a drop of water if creating water or a few grains of sand if destroying it,Instantaneous,,Cleric,Druid,,,,,,,2,XXX
Create Undead,6,,Necromancy,1 minute,10 ft,"V, S, M","one clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse",Instantaneous,,Cleric,,,,,Warlock,Wizard,,3,XXX
Creation,5,,Illusion,1 minute,30 ft,"V, S, M",a tiny piece of matter of the same type of the item you plan to create,Special,,,,,,Sorcerer,,Wizard,,2,XXX
Crown of Madness,2,,Enchantment,1 action,120 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Crusader's Mantle,3,,Evocation,1 action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1,XXX
Cure Wounds,1,,Evocation,1 action,Touch,"V, S",,Instantaneous,Bard,Cleric,Druid,Paladin,Ranger,,,,,5,XXX
Dancing Lights,Cantrip,,Evocation,1 action,120 ft,"V, S, M","a bit of phosphorus or wychwood, or a glowworm","Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3,XXX
Darkness,2,,Evocation,1 action,60 ft,"V, M",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Darkvision,2,,Transmutation,1 action,Touch,"V, S, M","either a pinch of dried carrot or an agate",8 hours,,,Druid,,Ranger,Sorcerer,,Wizard,,4,XXX
Daylight,3,,Evocation,1 action,60 ft,"V, S",,1 hour,,Cleric,Druid,Paladin,Ranger,Sorcerer,,,,5,XXX
Death Ward,4,,Abjuration,1 action,Touch,"V, S",,8 hours,,Cleric,,Paladin,,,,,,2,XXX
Delayed Blast Fireball,7,,Evocation,1 action,150 ft,"V, S, M","a tiny ball of bat guano and sulfur","Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2,XXX
Demiplane,8,,Conjuration,1 action,60 ft,V,,1 hour,,,,,,,Warlock,Wizard,,2,XXX
Destructive Wave (Smite?),5,,Evocation,1 action,Self (30ft radius),V,,Instantaneous,,,,Paladin,,,,,,1,XXX
Detect Evil and Good,1,,Divination,1 action,Self,"V, S",,"Concentration, up to 10 minutes",,Cleric,,Paladin,,,,,,2,XXX
Detect Magic,1,Ritual,Divination,1 action,Self,"V, S",,"Concentration, up to 10 minutes",Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,,Wizard,,7,XXX
Detect Poison and Disease,1,Ritual,Divination,1 action,Self,"V, S, M",a yew leaf,"Concentration, up to 10 minutes",,Cleric,Druid,Paladin,Ranger,,,,,4,XXX
Detect Thoughts,2,,Divination,1 action,Self,"V, S, M",a copper piece,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3,XXX
Dimension Door,4,,Conjuration,1 action,500 ft,V,,Instantaneous,Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Disguise Self,1,,Illusion,1 action,Self,"V, S",,1 hour,Bard,,,,,Sorcerer,,Wizard,,3,XXX
Disintegrate,6,,Transmutation,1 action,60 ft,"V, S, M",a lodestone and a pinch of dust,Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Dispel Evil and Good,5,,Abjuration,1 action,Self,"V, S, M","holy water or powdered silver and iron","Concentration, up to 1 minute",,Cleric,,,,,,,,1,XXX
Dispel Magic,3,,Abjuration,1 action,120 ft,"V, S",,Instantaneous,Bard,Cleric,Druid,Paladin,,Sorcerer,Warlock,Wizard,,7,XXX
Dissonant Whispers,1,,Enchantment,1 action,60 ft,V,,Instantaneous,Bard,,,,,,,,,1,XXX
Divination,4,Ritual,Divination,1 action,Self,"V, S, M","incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes",Instantaneous,,Cleric,,,,,,,,1,XXX
Divine Favor,1,,Evocation,1 bonus action,Self,"V, S",,"Concentration, up to 1 minute",,,,Paladin,,,,,,1,XXX
Divine Word,7,,Evocation,1 bonus action,Self,V,,Instantaneous,,Cleric,,,,,,,,1,XXX
Dominate Beast,4,,Enchantment,1 action,30 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,,,2,XXX
Dominate Monster,8,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 hour",Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Dominate Person,5,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3,XXX
Drawmij's Instant Summon,6,Ritual,Conjuration,1 minute,Touch,"V, S, M","a sapphire worth 1,000 gp",Until Dispelled,,,,,,,,Wizard,,1,XXX
Dream,5,,Illusion,1 minute,Special,"V, S, M","a handful of sand, a dab of ink, and a writing quill plucked from a sleeping bird",8 hours,Bard,,,,,,Warlock,Wizard,,3,XXX
Druidcraft,Cantrip,,Transmutation,1 action,30 ft,"V, S",,Instantaneous,,,Druid,,,,,,,1,"Whispering to the spirits of nature, you create one of the following effects within range. 1) You create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round. 2) You instantly make a flower blossom, a seed pod open, or a leaf bud bloom. 3) You create an instantaneous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint odor of skunk. The effect must fit in a 5-foot cube. 4) You instantly light or snuff out a candle, a torch, or a small campfire."
Earthquake,8,,Evocation,1 action,500 ft,"V, S, M","a pinch of dirt, a piece of rock, and a lump of clay","Concentration, up to 1 minute",,Cleric,Druid,,,Sorcerer,,,,3,XXX
Eldritch Blast,Cantrip,,Evocation,1 action,120 ft,"V, S",,Instantaneous,,,,,,,Warlock,,,1,XXX
Elemental Weapon,3,,Transmutation,1 action,Touch,"V, S",,"Concentration, up to 1 hour",,,,Paladin,,,,,,1,XXX
Enhance Ability,2,,Transmutation,1 action,Touch,"V, S, M",fur or a feather from a beast,"Concentration, up to 1 hour",Bard,Cleric,Druid,,,Sorcerer,,,,4,XXX
Enlarge/Reduce,2,,Transmutation,1 action,30 ft,"V, S, M",a pinch of powdered iron,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2,XXX
Ensnaring Strike,1,,Conjuration,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,,Ranger,,,,,1,XXX
Entangle,1,,Conjuration,1 action,90 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,,,,,,1,XXX
Enthrall,2,,Enchantment,1 action,60 ft,"V, S",,1 minute,Bard,,,,,,Warlock,,,2,XXX
Etherealness,7,,Transmutation,1 action,Self,"V, S",,Up to 8 hours,Bard,Cleric,,,,Sorcerer,Warlock,Wizard,,5,XXX
Evard's Black Tentacles,4,,Conjuration,1 action,90 ft,"V, S, M",a piece of tentacle from a giant octopus or a giant squid,"Concentration, up to 1 minute",,,,,,,,Wizard,,1,XXX
Expeditious Retreat,1,,Transmutation,1 bonus action,Self,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Eyebite,6,,Necromancy,1 action,Self,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Fabricate,4,,Transmutation,10 minutes,120 ft,"V, S",,Instantaneous,,,,,,,,Wizard,,1,XXX
Faerire Fire,1,,Evocation,1 action,60 ft,V,,"Concentration, up to 1 minute",Bard,,Druid,,,,,,,2,XXX
False Life,1,,Necromancy,1 action,Self,"V, S, M",a small amount of alcohol or distilled spirits,1 hour,,,,,,Sorcerer,,Wizard,,2,XXX
Fear,3,,Illusion,1 action,Self (30ft cone),"V, S, M","a white feather or the heart of a hen","Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Feather Fall,1,,Transmutation,"1 reaction, which you take when you or a creature within 60 feet of you falls",60 ft,"V, M",a small feather or piece of down,1 minute,Bard,,,,,Sorcerer,,Wizard,,3,XXX
Feeblemind,8,,Enchantment,1 action,150 ft,"V, S, M","a handful of clay, crystal, glass, or mineral spheres",Instantaneous,Bard,,Druid,,,,Warlock,Wizard,,4,XXX
Feign Death,3,Ritual,Necromancy,1 action,Touch,"V, S, M",a pinch of graveyard dirt,1 hour,Bard,Cleric,Druid,,,,,Wizard,,4,XXX
Find Familiar,1,Ritual,Conjuration,1 hour,10 ft,"V, S, M","10 gp worth of charcoal, incense, and herbs that must be consumed by fire in a brass brazier",Instantaneous,,,,,,,,Wizard,,1,XXX
Find Steed,2,,Conjuration,10 minutes,30 ft,"V, S",,Instantaneous,,,,Paladin,,,,,,1,XXX
Find the Path,6,,Divination,1 minute,Self,"V, S, M","a set of divinatory tools, such as bones, ivory sticks, cards, teeth, or carved runes, worth 100 gp and an object from the location you wish to find","Concentration, up to 1 day",Bard,Cleric,Druid,,,,,,,3,XXX
Find Traps,2,,Divination,1 action,120 ft,"V, S",,Instantaneous,,Cleric,Druid,,Ranger,,,,,3,XXX
Finger of Death,7,,Necromancy,1 action,60 ft,"V, S",,Instantaneous,,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Fireball,3,,Evocation,1 action,150 ft,"V, S, M","a tiny ball of bat guano and sulfur",Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Fire Bolt,Cantrip,,Evocation,1 action,120 ft,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Fire Shield,4,,Evocation,1 action,Self,"V, S, M",a bit of phosphorus or a firefly,10 minutes,,,,,,,,Wizard,,1,XXX
Fire Storm,7,,Evocation,1 action,150 ft,"V, S",,Instantaneous,,Cleric,Druid,,,Sorcerer,,,,3,XXX
Flame Blade,2,,Evocation,1 bonus action,Self,"V, S, M",leaf of sumac,"Concentration, up to 10 minutes",,,Druid,,,,,,,1,XXX
Flame Strike,5,,Evocation,1 action,60 ft,"V, S, M",pinch of sulfur,Instantaneous,,,,,,,,,,0,XXX
Flaming Sphere,2,,Conjuration,1 action,60 ft,"V, S, M","a bit of tallow, a pinch of brimstone, and a dusting of powdered iron","Concentration, up to 1 minute",,,,,,,,Wizard,,1,XXX
Flesh to Stone,6,,Transmutation,1 action,60 ft,"V, S, M","a pinch of lime, water, and earth","Concentration, up to 1 minute",,,,,,,Warlock,Wizard,,2,XXX
Fly,3,,Transmutation,1 action,Touch,"V, S, M",a wing feather from any bird,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Fog Cloud,1,,Conjuration,1 action,120 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,Ranger,Sorcerer,,Wizard,,4,XXX
Forbiddance,6,Ritual,Abjuration,10 minutes,Touch,"V, S, M","a sprinkling of holy water, rare incense, and powdered ruby worth at least 1,000 gp",1 day,,Cleric,,,,,,,,1,XXX
Forcecage,7,,Evocation,1 action,100 ft,"V, S, M","ruby dust worth 1,500 gp",1 hour,Bard,,,,,,Warlock,Wizard,,3,XXX
Foresight,9,,Divination,1 minute,Touch,"V, S, M",a hummingbird feather,8 hours,Bard,,Druid,,,,Warlock,Wizard,,4,XXX
Freedom of Movement,4,,Abjuration,Touch,Touch,"V, S, M","a leather strap, bound around the arm or a similar appendage",1 hour,Bard,Cleric,Druid,,Ranger,,,,,4,XXX
Friends,Cantrip,,Enchantment,1 action,Self,"S, M",a small amount of makeup applied to the face as this spell is cast,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Gaseous Form,3,,Transmutation,1 action,Touch,"V, S, M","a bit of gauze and a wisp of smoke","Concentration, up to 1 hour",,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Gate,9,,Conjuration,1 action,60 ft,"V, S, M","a diamond worth at least 5,000 gp","Concentration, up to 1 minute",,Cleric,,,,Sorcerer,,Wizard,,3,XXX
Geas,5,,Enchantment,1 minute,60 ft,V,,30 days,Bard,,Druid,Paladin,,,,Wizard,,4,XXX
Gentle Repose,2,Ritual,Necromancy,1 action,Touch,"V, S, M","a pinch of salt and one copper piece placed on each of the corpse's eyes, which must remain there for the duration",10 days,,Cleric,,,,,,Wizard,,2,XXX
Giant Insect,4,,Transmutation,1 action,30 ft,"V, S",,"Concentration, up to 10 minutes",,,Druid,,,,,,,1,XXX
Glibness,8,,Transmutation,1 action,Self,V,,1 hour,Bard,,,,,,Warlock,,,2,XXX
Globe of Invulnerability,6,,Abjuration,1 action,Self (10ft radius),"V, S, M",glass or crystal bead that shatters when the spell ends,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2,XXX
Glyph of Warding,3,,Abjuration,1 hour,Touch,"V, S, M","incense and powdered diamond worth at least 200 gp, which the spell consumes",Until dispelled or triggered,Bard,Cleric,,,,,,Wizard,,3,XXX
Goodberry,1,,Transmutation,1 action,Touch,"V, S, M",a sprig of mistletoe,Instantaneous,,,Druid,,Ranger,,,,,2,XXX
Grasping Wine,4,,Conjuration,1 bonus action,30 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,Ranger,,,Wizard,,3,XXX
Grease,1,,Conjuration,1 action,60 ft,"V, S, M",a bit of pork rind or butter,1 minute,,,,,,,,Wizard,,1,XXX
Greater Invisibility,4,,Illusion,1 action,Touch,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,,,2,XXX
Greater Restoration,5,,Abjuration,1 action,Touch,"V, S, M","diamond dust worth at least 100 gp, which the spell consumes",Instantaneous,Bard,Cleric,Druid,,,,,,,3,XXX
Guardian of Faith,4,,Conjuration,1 action,30 ft,V,,8 hours,,Cleric,,,,,,,,1,XXX
Guards and Wards,6,,Abjuration,10 minutes,Touch,"V, S, M","burning incense, a small measure of brimstone and oil, a knotted string, a small amount of umber hulk blood, and a small silver rod worth at least 10 gp",24 hours,Bard,,,,,,,Wizard,,2,XXX
Guidance,Cantrip,,Divination,1 action,Touch,"V, S",,"Concentration, up to 1 minute",,Cleric,Druid,,,,,,,2,XXX
Guiding Bolt,1,,Evocation,1 action,120 ft,"V, S",,1 round,,Cleric,,,,,,,,1,XXX
Gust of Wind,2,,Evocation,1 action,Self (60ft line),"V, S, M",a legume seed,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,Wizard,,3,XXX
Hail of Thorns,1,,Conjuration,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,,Ranger,,,,,1,XXX
Hallow,5,,Evocation,24 hours,Touch,"V, S, M","herbs, oils, and incense worth at least 1,000 gp, which the spell consumes",Until Dispelled,,Cleric,,,,,,,,1,XXX
Hallucinatory Terrain,4,,Illusion,10 minutes,300 ft,"V, S, M","a stone, a twig, and a bit of green plant",24 hours,Bard,,Druid,,,,Warlock,Wizard,,4,XXX
Harm,6,,Necromancy,1 action,60 ft,"V, S",,Instantaneous,,Cleric,,,,,,,,1,XXX
Haste,3,,Transmutation,1 action,30 ft,"V, S, M",a shaving of licorice root,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2,XXX
Heal,6,,Evocation,1 action,60 ft,"V, S",,Instantaneous,,Cleric,Druid,,,,,,,2,XXX
Healing Word,1,,Evocation,1 bonus action,60 ft,V,,Instantaneous,Bard,Cleric,Druid,,,,,,,3,XXX
Heat Metal,2,,Transmutation,1 action,60 ft,"V, S, M",a piece of iron and a flame,"Concentration, up to 1 minute",Bard,,Druid,,,,,,,2,XXX
Hellish Rebuke,1,,Evocation,"1 reaction, which you take in response to being damaged by a creature within 60 feet of you that you can see",60 ft,"V, S",,Instantaneous,,,,,,,Warlock,,,1,XXX
Heroes's Feast,6,,Conjuration,10 minutes,30 ft,"V, S, M","a gem-encrusted bowl worth at least 1,000 gp, which the spell consumes",Instantaneous,,Cleric,Druid,,,,,,,2,XXX
Heroism,1,,Enchantment,1 action,Touch,"V, S",,"Concentration, up to 1 minute",Bard,,,Paladin,,,,,,2,XXX
Hex,1,,Enchantment,1 bonus action,90 ft,"V, S, M",the petrified eye of a newt,"Concentration, up to 1 hour",,,,,,,Warlock,,,1,XXX
